"Error","Query","Table","Variable","PID","Info"
"Missing Value","Missing Value","tblCENTER","rural","163",""
"Missing Value","Missing Value","tblCENTER","rural","164",""
"Missing Value","Missing Value","tblCENTER","rural","166",""
"Missing Value","Missing Value","tblCENTER","rural","167",""
"Missing Value","Missing Value","tblCENTER","rural","168",""
"Missing Value","Missing Value","tblCENTER","rural","169",""
"Missing Value","Missing Value","tblCENTER","rural","17",""
"Missing Value","Missing Value","tblCENTER","rural","170",""
"Missing Value","Missing Value","tblCENTER","rural","172",""
"Missing Value","Missing Value","tblCENTER","rural","173",""
"Missing Value","Missing Value","tblCENTER","rural","174",""
"Missing Value","Missing Value","tblCENTER","rural","175",""
"Missing Value","Missing Value","tblCENTER","rural","176",""
"Missing Value","Missing Value","tblCENTER","rural","177",""
"Missing Value","Missing Value","tblCENTER","rural","179",""
"Missing Value","Missing Value","tblCENTER","rural","18",""
"Missing Value","Missing Value","tblCENTER","rural","180",""
"Missing Value","Missing Value","tblCENTER","rural","182",""
"Missing Value","Missing Value","tblCENTER","rural","183",""
"Missing Value","Missing Value","tblCENTER","rural","184",""
"Missing Value","Missing Value","tblCENTER","rural","185",""
"Missing Value","Missing Value","tblCENTER","rural","186",""
"Missing Value","Missing Value","tblCENTER","rural","187",""
"Missing Value","Missing Value","tblCENTER","rural","189",""
"Missing Value","Missing Value","tblCENTER","rural","19",""
"Missing Value","Missing Value","tblCENTER","rural","190",""
"Missing Value","Missing Value","tblCENTER","rural","192",""
"Missing Value","Missing Value","tblCENTER","rural","193",""
"Missing Value","Missing Value","tblCENTER","rural","194",""
"Missing Value","Missing Value","tblCENTER","rural","195",""
"Missing Value","Missing Value","tblCENTER","rural","197",""
"Missing Value","Missing Value","tblCENTER","rural","198",""
"Missing Value","Missing Value","tblCENTER","rural","199",""
"Missing Value","Missing Value","tblCENTER","rural","2",""
"Missing Value","Missing Value","tblCENTER","rural","200",""
"Missing Value","Missing Value","tblCENTER","rural","201",""
"Missing Value","Missing Value","tblCENTER","rural","202",""
"Missing Value","Missing Value","tblCENTER","rural","204",""
"Missing Value","Missing Value","tblCENTER","rural","205",""
"Missing Value","Missing Value","tblCENTER","rural","206",""
"Missing Value","Missing Value","tblCENTER","rural","207",""
"Missing Value","Missing Value","tblCENTER","rural","21",""
"Missing Value","Missing Value","tblCENTER","rural","22",""
"Missing Value","Missing Value","tblCENTER","rural","23",""
"Missing Value","Missing Value","tblCENTER","rural","24",""
"Missing Value","Missing Value","tblCENTER","rural","25",""
"Missing Value","Missing Value","tblCENTER","rural","26",""
"Missing Value","Missing Value","tblCENTER","rural","27",""
"Missing Value","Missing Value","tblCENTER","rural","29",""
"Missing Value","Missing Value","tblCENTER","rural","3",""
"Missing Value","Missing Value","tblCENTER","rural","30",""
"Missing Value","Missing Value","tblCENTER","rural","31",""
"Missing Value","Missing Value","tblCENTER","rural","32",""
"Missing Value","Missing Value","tblCENTER","rural","33",""
"Missing Value","Missing Value","tblCENTER","rural","34",""
"Missing Value","Missing Value","tblCENTER","rural","35",""
"Missing Value","Missing Value","tblCENTER","rural","36",""
"Missing Value","Missing Value","tblCENTER","rural","37",""
"Missing Value","Missing Value","tblCENTER","rural","38",""
"Missing Value","Missing Value","tblCENTER","rural","39",""
"Missing Value","Missing Value","tblCENTER","rural","4",""
"Missing Value","Missing Value","tblCENTER","rural","40",""
"Missing Value","Missing Value","tblCENTER","rural","41",""
"Missing Value","Missing Value","tblCENTER","rural","42",""
"Missing Value","Missing Value","tblCENTER","rural","43",""
"Missing Value","Missing Value","tblCENTER","rural","44",""
"Missing Value","Missing Value","tblCENTER","rural","46",""
"Missing Value","Missing Value","tblCENTER","rural","47",""
"Missing Value","Missing Value","tblCENTER","rural","48",""
"Missing Value","Missing Value","tblCENTER","rural","49",""
"Missing Value","Missing Value","tblCENTER","rural","5",""
"Missing Value","Missing Value","tblCENTER","rural","50",""
"Missing Value","Missing Value","tblCENTER","rural","51",""
"Missing Value","Missing Value","tblCENTER","rural","52",""
"Missing Value","Missing Value","tblCENTER","rural","53",""
"Missing Value","Missing Value","tblCENTER","rural","54",""
"Missing Value","Missing Value","tblCENTER","rural","55",""
"Missing Value","Missing Value","tblCENTER","rural","56",""
"Missing Value","Missing Value","tblCENTER","rural","57",""
"Missing Value","Missing Value","tblCENTER","rural","58",""
"Missing Value","Missing Value","tblCENTER","rural","59",""
"Missing Value","Missing Value","tblCENTER","rural","6",""
"Missing Value","Missing Value","tblCENTER","rural","60",""
"Missing Value","Missing Value","tblCENTER","rural","61",""
"Missing Value","Missing Value","tblCENTER","rural","62",""
"Missing Value","Missing Value","tblCENTER","rural","63",""
"Missing Value","Missing Value","tblCENTER","rural","64",""
"Missing Value","Missing Value","tblCENTER","rural","65",""
"Missing Value","Missing Value","tblCENTER","rural","66",""
"Missing Value","Missing Value","tblCENTER","rural","67",""
"Missing Value","Missing Value","tblCENTER","rural","68",""
"Missing Value","Missing Value","tblCENTER","rural","7",""
"Missing Value","Missing Value","tblCENTER","rural","70",""
"Missing Value","Missing Value","tblCENTER","rural","71",""
"Missing Value","Missing Value","tblCENTER","rural","72",""
"Missing Value","Missing Value","tblCENTER","rural","73",""
"Missing Value","Missing Value","tblCENTER","rural","74",""
"Missing Value","Missing Value","tblCENTER","rural","75",""
"Missing Value","Missing Value","tblCENTER","rural","76",""
"Missing Value","Missing Value","tblCENTER","rural","77",""
"Missing Value","Missing Value","tblCENTER","rural","78",""
"Missing Value","Missing Value","tblCENTER","rural","79",""
"Missing Value","Missing Value","tblCENTER","rural","8",""
"Missing Value","Missing Value","tblCENTER","rural","80",""
"Missing Value","Missing Value","tblCENTER","rural","81",""
"Missing Value","Missing Value","tblCENTER","rural","82",""
"Missing Value","Missing Value","tblCENTER","rural","83",""
"Missing Value","Missing Value","tblCENTER","rural","84",""
"Missing Value","Missing Value","tblCENTER","rural","85",""
"Missing Value","Missing Value","tblCENTER","rural","86",""
"Missing Value","Missing Value","tblCENTER","rural","87",""
"Missing Value","Missing Value","tblCENTER","rural","88",""
"Missing Value","Missing Value","tblCENTER","rural","89",""
"Missing Value","Missing Value","tblCENTER","rural","9",""
"Missing Value","Missing Value","tblCENTER","rural","90",""
"Missing Value","Missing Value","tblCENTER","rural","91",""
"Missing Value","Missing Value","tblCENTER","rural","92",""
"Missing Value","Missing Value","tblCENTER","rural","93",""
"Missing Value","Missing Value","tblCENTER","rural","94",""
"Missing Value","Missing Value","tblCENTER","rural","96",""
"Missing Value","Missing Value","tblCENTER","rural","97",""
"Missing Value","Missing Value","tblCENTER","rural","98",""
"Missing Value","Missing Value","tblCENTER","rural","99",""
"Missing Value","Missing Value","tblCENTER","rural","BIKITA",""
"Missing Value","Missing Value","tblCENTER","rural","BOITUMELO",""
"Missing Value","Missing Value","tblCENTER","rural","BUCHI MAIN",""
"Missing Value","Missing Value","tblCENTER","rural","CHINDWIN CAMP",""
"Missing Value","Missing Value","tblCENTER","rural","GONDAR",""
"Missing Value","Missing Value","tblCENTER","rural","ITEZHI-TEZHI HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","KABWE GENERAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","KABWE ZAF",""
"Missing Value","Missing Value","tblCENTER","rural","KALULUSHI MINE HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","KASAMA GENERAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","KASANDA",""
"Missing Value","Missing Value","tblCENTER","rural","KAWAMA HAHC - KAPIRIMPOSHI",""
"Missing Value","Missing Value","tblCENTER","rural","KITWE CENTRAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","KITWE ZNS",""
"Missing Value","Missing Value","tblCENTER","rural","LITETA HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","LUAMPA MISSION HOSPITAL HAHC",""
"Missing Value","Missing Value","tblCENTER","rural","LUANGWA",""
"Missing Value","Missing Value","tblCENTER","rural","LUENA BARRACKS",""
"Missing Value","Missing Value","tblCENTER","rural","MASAITI BOMA",""
"Missing Value","Missing Value","tblCENTER","rural","MIKANGO",""
"Missing Value","Missing Value","tblCENTER","rural","MTETEZI ZNS",""
"Missing Value","Missing Value","tblCENTER","rural","MUFUMBWE HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","MUMBWA DISTRICT HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","MUMBWA ZAF",""
"Missing Value","Missing Value","tblCENTER","rural","NAMWALA HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","NANGA",""
"Missing Value","Missing Value","tblCENTER","rural","QECH",""
"Missing Value","Missing Value","tblCENTER","rural","ROAN ANTELOPE HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","RONALD ROSS GENERAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","SEBOCHE",""
"Missing Value","Missing Value","tblCENTER","rural","SOLWEZI GENERAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","rural","ZAF LIVINGSTONE SICK QUARTERS",""
"Missing Value","Missing Value","tblCENTER","level","40",""
"Missing Value","Missing Value","tblCENTER","level","60",""
"Missing Value","Missing Value","tblCENTER","level","1",""
"Missing Value","Missing Value","tblCENTER","level","10",""
"Missing Value","Missing Value","tblCENTER","level","100",""
"Missing Value","Missing Value","tblCENTER","level","101",""
"Missing Value","Missing Value","tblCENTER","level","102",""
"Missing Value","Missing Value","tblCENTER","level","103",""
"Missing Value","Missing Value","tblCENTER","level","104",""
"Missing Value","Missing Value","tblCENTER","level","105",""
"Missing Value","Missing Value","tblCENTER","level","106",""
"Missing Value","Missing Value","tblCENTER","level","107",""
"Missing Value","Missing Value","tblCENTER","level","108",""
"Missing Value","Missing Value","tblCENTER","level","109",""
"Missing Value","Missing Value","tblCENTER","level","11",""
"Missing Value","Missing Value","tblCENTER","level","110",""
"Missing Value","Missing Value","tblCENTER","level","111",""
"Missing Value","Missing Value","tblCENTER","level","112",""
"Missing Value","Missing Value","tblCENTER","level","113",""
"Missing Value","Missing Value","tblCENTER","level","114",""
"Missing Value","Missing Value","tblCENTER","level","115",""
"Missing Value","Missing Value","tblCENTER","level","116",""
"Missing Value","Missing Value","tblCENTER","level","118",""
"Missing Value","Missing Value","tblCENTER","level","119",""
"Missing Value","Missing Value","tblCENTER","level","12",""
"Missing Value","Missing Value","tblCENTER","level","120",""
"Missing Value","Missing Value","tblCENTER","level","121",""
"Missing Value","Missing Value","tblCENTER","level","122",""
"Missing Value","Missing Value","tblCENTER","level","123",""
"Missing Value","Missing Value","tblCENTER","level","124",""
"Missing Value","Missing Value","tblCENTER","level","125",""
"Missing Value","Missing Value","tblCENTER","level","126",""
"Missing Value","Missing Value","tblCENTER","level","127",""
"Missing Value","Missing Value","tblCENTER","level","128",""
"Missing Value","Missing Value","tblCENTER","level","129",""
"Missing Value","Missing Value","tblCENTER","level","13",""
"Missing Value","Missing Value","tblCENTER","level","131",""
"Missing Value","Missing Value","tblCENTER","level","132",""
"Missing Value","Missing Value","tblCENTER","level","133",""
"Missing Value","Missing Value","tblCENTER","level","134",""
"Missing Value","Missing Value","tblCENTER","level","135",""
"Missing Value","Missing Value","tblCENTER","level","136",""
"Missing Value","Missing Value","tblCENTER","level","137",""
"Missing Value","Missing Value","tblCENTER","level","138",""
"Missing Value","Missing Value","tblCENTER","level","139",""
"Missing Value","Missing Value","tblCENTER","level","14",""
"Missing Value","Missing Value","tblCENTER","level","140",""
"Missing Value","Missing Value","tblCENTER","level","141",""
"Missing Value","Missing Value","tblCENTER","level","142",""
"Missing Value","Missing Value","tblCENTER","level","143",""
"Missing Value","Missing Value","tblCENTER","level","144",""
"Missing Value","Missing Value","tblCENTER","level","145",""
"Missing Value","Missing Value","tblCENTER","level","146",""
"Missing Value","Missing Value","tblCENTER","level","147",""
"Missing Value","Missing Value","tblCENTER","level","148",""
"Missing Value","Missing Value","tblCENTER","level","15",""
"Missing Value","Missing Value","tblCENTER","level","150",""
"Missing Value","Missing Value","tblCENTER","level","151",""
"Missing Value","Missing Value","tblCENTER","level","153",""
"Missing Value","Missing Value","tblCENTER","level","154",""
"Missing Value","Missing Value","tblCENTER","level","155",""
"Missing Value","Missing Value","tblCENTER","level","156",""
"Missing Value","Missing Value","tblCENTER","level","157",""
"Missing Value","Missing Value","tblCENTER","level","158",""
"Missing Value","Missing Value","tblCENTER","level","159",""
"Missing Value","Missing Value","tblCENTER","level","16",""
"Missing Value","Missing Value","tblCENTER","level","160",""
"Missing Value","Missing Value","tblCENTER","level","161",""
"Missing Value","Missing Value","tblCENTER","level","162",""
"Missing Value","Missing Value","tblCENTER","level","163",""
"Missing Value","Missing Value","tblCENTER","level","164",""
"Missing Value","Missing Value","tblCENTER","level","166",""
"Missing Value","Missing Value","tblCENTER","level","167",""
"Missing Value","Missing Value","tblCENTER","level","168",""
"Missing Value","Missing Value","tblCENTER","level","169",""
"Missing Value","Missing Value","tblCENTER","level","17",""
"Missing Value","Missing Value","tblCENTER","level","170",""
"Missing Value","Missing Value","tblCENTER","level","172",""
"Missing Value","Missing Value","tblCENTER","level","173",""
"Missing Value","Missing Value","tblCENTER","level","174",""
"Missing Value","Missing Value","tblCENTER","level","175",""
"Missing Value","Missing Value","tblCENTER","level","176",""
"Missing Value","Missing Value","tblCENTER","level","177",""
"Missing Value","Missing Value","tblCENTER","level","179",""
"Missing Value","Missing Value","tblCENTER","level","18",""
"Missing Value","Missing Value","tblCENTER","level","180",""
"Missing Value","Missing Value","tblCENTER","level","181",""
"Missing Value","Missing Value","tblCENTER","level","182",""
"Missing Value","Missing Value","tblCENTER","level","183",""
"Missing Value","Missing Value","tblCENTER","level","184",""
"Missing Value","Missing Value","tblCENTER","level","185",""
"Missing Value","Missing Value","tblCENTER","level","186",""
"Missing Value","Missing Value","tblCENTER","level","187",""
"Missing Value","Missing Value","tblCENTER","level","19",""
"Missing Value","Missing Value","tblCENTER","level","193",""
"Missing Value","Missing Value","tblCENTER","level","194",""
"Missing Value","Missing Value","tblCENTER","level","195",""
"Missing Value","Missing Value","tblCENTER","level","196",""
"Missing Value","Missing Value","tblCENTER","level","197",""
"Missing Value","Missing Value","tblCENTER","level","198",""
"Missing Value","Missing Value","tblCENTER","level","199",""
"Missing Value","Missing Value","tblCENTER","level","2",""
"Missing Value","Missing Value","tblCENTER","level","200",""
"Missing Value","Missing Value","tblCENTER","level","201",""
"Missing Value","Missing Value","tblCENTER","level","202",""
"Missing Value","Missing Value","tblCENTER","level","203",""
"Missing Value","Missing Value","tblCENTER","level","204",""
"Missing Value","Missing Value","tblCENTER","level","205",""
"Missing Value","Missing Value","tblCENTER","level","206",""
"Missing Value","Missing Value","tblCENTER","level","207",""
"Missing Value","Missing Value","tblCENTER","level","21",""
"Missing Value","Missing Value","tblCENTER","level","22",""
"Missing Value","Missing Value","tblCENTER","level","23",""
"Missing Value","Missing Value","tblCENTER","level","24",""
"Missing Value","Missing Value","tblCENTER","level","25",""
"Missing Value","Missing Value","tblCENTER","level","26",""
"Missing Value","Missing Value","tblCENTER","level","27",""
"Missing Value","Missing Value","tblCENTER","level","29",""
"Missing Value","Missing Value","tblCENTER","level","3",""
"Missing Value","Missing Value","tblCENTER","level","30",""
"Missing Value","Missing Value","tblCENTER","level","31",""
"Missing Value","Missing Value","tblCENTER","level","32",""
"Missing Value","Missing Value","tblCENTER","level","33",""
"Missing Value","Missing Value","tblCENTER","level","34",""
"Missing Value","Missing Value","tblCENTER","level","35",""
"Missing Value","Missing Value","tblCENTER","level","36",""
"Missing Value","Missing Value","tblCENTER","level","37",""
"Missing Value","Missing Value","tblCENTER","level","38",""
"Missing Value","Missing Value","tblCENTER","level","39",""
"Missing Value","Missing Value","tblCENTER","level","4",""
"Missing Value","Missing Value","tblCENTER","level","40",""
"Missing Value","Missing Value","tblCENTER","level","41",""
"Missing Value","Missing Value","tblCENTER","level","42",""
"Missing Value","Missing Value","tblCENTER","level","43",""
"Missing Value","Missing Value","tblCENTER","level","44",""
"Missing Value","Missing Value","tblCENTER","level","46",""
"Missing Value","Missing Value","tblCENTER","level","47",""
"Missing Value","Missing Value","tblCENTER","level","48",""
"Missing Value","Missing Value","tblCENTER","level","49",""
"Missing Value","Missing Value","tblCENTER","level","5",""
"Missing Value","Missing Value","tblCENTER","level","50",""
"Missing Value","Missing Value","tblCENTER","level","51",""
"Missing Value","Missing Value","tblCENTER","level","52",""
"Missing Value","Missing Value","tblCENTER","level","53",""
"Missing Value","Missing Value","tblCENTER","level","54",""
"Missing Value","Missing Value","tblCENTER","level","55",""
"Missing Value","Missing Value","tblCENTER","level","56",""
"Missing Value","Missing Value","tblCENTER","level","57",""
"Missing Value","Missing Value","tblCENTER","level","58",""
"Missing Value","Missing Value","tblCENTER","level","59",""
"Missing Value","Missing Value","tblCENTER","level","6",""
"Missing Value","Missing Value","tblCENTER","level","60",""
"Missing Value","Missing Value","tblCENTER","level","61",""
"Missing Value","Missing Value","tblCENTER","level","62",""
"Missing Value","Missing Value","tblCENTER","level","63",""
"Missing Value","Missing Value","tblCENTER","level","64",""
"Missing Value","Missing Value","tblCENTER","level","65",""
"Missing Value","Missing Value","tblCENTER","level","66",""
"Missing Value","Missing Value","tblCENTER","level","67",""
"Missing Value","Missing Value","tblCENTER","level","68",""
"Missing Value","Missing Value","tblCENTER","level","7",""
"Missing Value","Missing Value","tblCENTER","level","70",""
"Missing Value","Missing Value","tblCENTER","level","71",""
"Missing Value","Missing Value","tblCENTER","level","72",""
"Missing Value","Missing Value","tblCENTER","level","73",""
"Missing Value","Missing Value","tblCENTER","level","74",""
"Missing Value","Missing Value","tblCENTER","level","75",""
"Missing Value","Missing Value","tblCENTER","level","76",""
"Missing Value","Missing Value","tblCENTER","level","77",""
"Missing Value","Missing Value","tblCENTER","level","78",""
"Missing Value","Missing Value","tblCENTER","level","79",""
"Missing Value","Missing Value","tblCENTER","level","8",""
"Missing Value","Missing Value","tblCENTER","level","80",""
"Missing Value","Missing Value","tblCENTER","level","81",""
"Missing Value","Missing Value","tblCENTER","level","82",""
"Missing Value","Missing Value","tblCENTER","level","83",""
"Missing Value","Missing Value","tblCENTER","level","84",""
"Missing Value","Missing Value","tblCENTER","level","85",""
"Missing Value","Missing Value","tblCENTER","level","86",""
"Missing Value","Missing Value","tblCENTER","level","87",""
"Missing Value","Missing Value","tblCENTER","level","88",""
"Missing Value","Missing Value","tblCENTER","level","89",""
"Missing Value","Missing Value","tblCENTER","level","9",""
"Missing Value","Missing Value","tblCENTER","level","90",""
"Missing Value","Missing Value","tblCENTER","level","91",""
"Missing Value","Missing Value","tblCENTER","level","92",""
"Missing Value","Missing Value","tblCENTER","level","93",""
"Missing Value","Missing Value","tblCENTER","level","94",""
"Missing Value","Missing Value","tblCENTER","level","96",""
"Missing Value","Missing Value","tblCENTER","level","97",""
"Missing Value","Missing Value","tblCENTER","level","98",""
"Missing Value","Missing Value","tblCENTER","level","99",""
"Missing Value","Missing Value","tblCENTER","level","BIKITA",""
"Missing Value","Missing Value","tblCENTER","level","BOITUMELO",""
"Missing Value","Missing Value","tblCENTER","level","BUCHI MAIN",""
"Missing Value","Missing Value","tblCENTER","level","BWAFWANO MEDICAL CLINIC",""
"Missing Value","Missing Value","tblCENTER","level","CHINDWIN CAMP",""
"Missing Value","Missing Value","tblCENTER","level","GONDAR",""
"Missing Value","Missing Value","tblCENTER","level","ITEZHI-TEZHI HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","KABWE GENERAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","KABWE ZAF",""
"Missing Value","Missing Value","tblCENTER","level","KALULUSHI MINE HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","KASAMA GENERAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","KASANDA",""
"Missing Value","Missing Value","tblCENTER","level","KAWAMA HAHC - KAPIRIMPOSHI",""
"Missing Value","Missing Value","tblCENTER","level","KITWE CENTRAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","KITWE ZNS",""
"Missing Value","Missing Value","tblCENTER","level","Lighthouse KCH",""
"Missing Value","Missing Value","tblCENTER","level","LITETA HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","LUAMPA MISSION HOSPITAL HAHC",""
"Missing Value","Missing Value","tblCENTER","level","LUANGWA",""
"Missing Value","Missing Value","tblCENTER","level","LUENA BARRACKS",""
"Missing Value","Missing Value","tblCENTER","level","MANUNGU",""
"Missing Value","Missing Value","tblCENTER","level","MASAITI BOMA",""
"Missing Value","Missing Value","tblCENTER","level","MIKANGO",""
"Missing Value","Missing Value","tblCENTER","level","MPC",""
"Missing Value","Missing Value","tblCENTER","level","MTETEZI ZNS",""
"Missing Value","Missing Value","tblCENTER","level","MUFUMBWE HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","MUMBWA DISTRICT HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","MUMBWA ZAF",""
"Missing Value","Missing Value","tblCENTER","level","NAKAMBALA URBAN",""
"Missing Value","Missing Value","tblCENTER","level","NAMWALA HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","NANGA",""
"Missing Value","Missing Value","tblCENTER","level","NYAWA",""
"Missing Value","Missing Value","tblCENTER","level","QECH",""
"Missing Value","Missing Value","tblCENTER","level","ROAN ANTELOPE HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","RONALD ROSS GENERAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","SEBOCHE",""
"Missing Value","Missing Value","tblCENTER","level","SOLWEZI GENERAL HOSPITAL",""
"Missing Value","Missing Value","tblCENTER","level","THABA TSEKA",""
"Missing Value","Missing Value","tblCENTER","level","THABA TSEKA HC",""
"Missing Value","Missing Value","tblCENTER","level","ZAF LIVINGSTONE SICK QUARTERS",""
"Missing Value","Missing Value","tblCENTER","geocode_lat","MASAITI BOMA",""
"Missing Value","Missing Value","tblCENTER","geocode_lon","MASAITI BOMA",""
"Missing Value","Missing Value","tblCENTER","close_d","40",""
"Missing Value","Missing Value","tblCENTER","close_d","56",""
"Missing Value","Missing Value","tblCENTER","close_d","60",""
"Missing Value","Missing Value","tblCENTER","close_d","1",""
"Missing Value","Missing Value","tblCENTER","close_d","10",""
"Missing Value","Missing Value","tblCENTER","close_d","100",""
"Missing Value","Missing Value","tblCENTER","close_d","101",""
"Missing Value","Missing Value","tblCENTER","close_d","102",""
"Missing Value","Missing Value","tblCENTER","close_d","103",""
"Missing Value","Missing Value","tblCENTER","close_d","104",""
"Missing Value","Missing Value","tblCENTER","close_d","105",""
"Missing Value","Missing Value","tblCENTER","close_d","106",""
"Missing Value","Missing Value","tblCENTER","close_d","107",""
"Missing Value","Missing Value","tblCENTER","close_d","108",""
"Missing Value","Missing Value","tblCENTER","close_d","109",""
"Missing Value","Missing Value","tblCENTER","close_d","11",""
"Missing Value","Missing Value","tblCENTER","close_d","110",""
"Missing Value","Missing Value","tblCENTER","close_d","111",""
"Missing Value","Missing Value","tblCENTER","close_d","112",""
